Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Deep Beeline,Random,One,Normal,45,50981,19,5D 1B G 6C 17B G 8C 8D G 13B 13A G 15D 8B G 9D 10C G 10D 7A G 9B 15B G 3C 9D G 20D 4A G 20B 16A G 9B 12D G 20A 11A G 12A 17D G 16D 1D G
Random,Monte Carlo Beeline 1,Two,Normal,51,85317,9,3B 20C G 20B 6D G 12B 6A G 12C 14A G 12D 17B G 13A 3A G 13C 20D G 19B 5C G 10A 9B G 3D 9D G 12D 13B G 2A 7D G 5C 7C G 19C 14A G 10D 11C G 5D 11D G 8A 2A G
Bee Line,Deep Beeline,Two,Normal,54,51964,4,2A 13A G 13B 4D G 2B 9C G 9D 20C G 1A 18A G 15D 1B G 10B 19D G 12B 14A G 5B 19C G 11B 17C G 7D 14C G 12D 11C G 19A 15A G 17B 16D G 20B 20D G 16A 19A G 20B 7B G 11D 10B G
Bee Line,Barricade,Two,Normal,45,1444,55,14D 4A G 14A 20D G 11D 11A G 16C 19B G 19A 19C G 20B 9B G 3A 9A G 13C 18D G 17B 3B G 2B 17C G 7B 2A G 2D 6D G 20C 7C G 16D 1C G 10D 7A G
Deep Beeline,Barricade,One,Normal,57,51766,27,7D 7C G 7A 14C G 14B 12B G 2C 13D G 14D 13A G 18C 17D G 15B 8B G 2A 15A G 17B 15D G 19A 19B G 20A 20C G 18D 1A G 8D 3A G 3C 9C G 16C 3C G 7A 6B G 20D 1C G 2C 17C G 16A 7B G
Monte Carlo Beeline 1,Barricade,One,Normal,57,88868,6,2C 2D G 2A 19B G 7A 7D G 3D 10A G 1D 1A G 6C 5B G 20A 5C G 2B 8D G 9B 8A G 12D 3B G 18A 14C G 15D 9D G 8B 13D G 5D 17C G 13A 5C G 15C 4A G 4C 1A G 16D 15A G 17D 2B G
Deep Beeline,Tile Skipper,One,Normal,42,6204,45,12B 20D G 6B 12A G 2D 6C G 1A 18C G 18D 2B G 2C 16A G 6A 4B G 1B 7A G 19B 1C G 3B 20B G 3A 3C G 4C 13B G 11B 5D G 9A 10C G
Barricade,Monte Carlo Beeline 1,Two,Normal,63,90724,22,6C 6D G 16C 6A G 11B 19A G 13C 1C G 16A 8D G 4B 4A G 5B 13B G 16D 13A G 20A 18C G 8A 8B G 18A 9A G 14D 9C G 7A 14A G 12A 7B G 12D 10B G 10C 17A G 3D 11C G 2C 10D G 5C 17B G 2C 5C G 11A 13A G
Tile Skipper,Monte Carlo Beeline 2,Two,Normal,48,164897,79,20D 10A G 20A 6B G 6C 1B G 16D 1A G 2B 16B G 2A 2C G 4B 5A G 13A 4C G 1C 13D G 12C 7A G 7C 8A G 3D 7B G 3C 19B G 18B 9A G 9B 17A G 17D 12D G
Monte Carlo Beeline 2,Deep Beeline,One,Normal,45,164995,15,4D 5A G 5B 11B G 2B 7B G 1A 18B G 19C 12A G 2C 19B G 18A 3B G 13C 16A G 16B 17B G 16C 3D G 9B 13A G 9D 9A G 20A 8C G 19D 20D G 20C 14B G
Deep Beeline,Monte Carlo Beeline 1,Two,Normal,63,94813,22,6C 6D G 16C 11D G 6B 8C G 11C 13C G 1A 4D G 1D 13B G 14D 15B G 15D 11A G 17C 18A G 7C 18D G 20A 3A G 5D 7A G 5A 18B G 17A 12A G 10C 12D G 10A 14A G 20B 12C G 17D 10D G 20B 9D G 18C 5C G 12A 19D G
Deep Beeline,Kitty Corner,One,Normal,57,41771,14,4C 2A G 3A 11C G 19C 4A G 9A 19A G 20A 14A G 1A 20D G 1B 8A G 13A 18C G 6A 18A G 3B 20C G 16C 2D G 1C 7C G 11B 13D G 2D 6C G 13C 1D G 9B 10D G 10A 2D G 13B 17A G 7C 12A G
Bee Line,Monte Carlo Beeline 1,Two,Normal,48,90573,19,5D 6A G 5A 15D G 16C 16D G 20C 17B G 19D 17A G 1A 12A G 3D 12B G 4A 9D G 12D 8A G 12C 19C G 19B 9C G 7D 16A G 20B 2D G 11A 3A G 4C 18D G 18C 11D G
Deep Beeline,Bee Line,Two,Normal,57,54646,12,4A 13C G 2C 20C G 10D 1C G 8D 13A G 14A 5D G 9D 9B G 17B 20A G 20B 6A G 3A 17A G 18A 17D G 8B 11D G 20D 9C G 12D 11B G 11A 19A G 14B 20B G 15C 6B G 13A 16A G 16D 12A G 3A 7B G
Random,Monte Carlo Tree Search,Two,Normal,42,237703,74,19C 20A G 12D 12B G 9A 7D G 14C 13B G 9C 18A G 11A 13C G 4D 5D G 12C 1B G 9A 11D G 18A 17D G 6B 5D G 16C 5B G 2B 1A G 6C 9A G
