Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript,Winning Path
Monte Carlo Beeline 4,Parallel MCTS,One,Normal,43,1152163,35,9D 3B G 5A 16B G 11C 12B G 15C 16A G 20B 1C G 2D 9A G 19C 7B G 1A 16B+ G 14D 2B G 4A 9B G 19A 17A G 17D 19B G 11C 17B G 10C 16A+ G 16D,9D 9A 9B 14D 19C 19A 19B 20B 16B 16A 16D 11C
Monte Carlo Beeline 4,Monte Carlo Beeline 3,One,Normal,73,723610,77,20B 8A G 13C 9B G 5B 13D G 15D 19A G 16A 17B G 9D 14D G 7B 2D G 2B 7A G 19C 16B G 3A 18C G 12D 17D G 10D 20D G 19B 14C G 16B 11B G 20A 16C G 16A 11A G 18A 6B G 17A 11D G 20B 4A G 9B 19B+ G 13B 3C G 4D 16C G 11D 16B G 9B 11D+ G 7C,7C 11B 11A 11D 16C 20D 20A 20B 19B 19A 19C 14D
Random,Monte Carlo Barricade,Two,Normal,100,556442,70,18C 15D G 10B 5D G 19C 11B G 1C 18C+ G 3A 20C G 20A 1B G 19A 18B G 18A 6D G 3D 9A G 18D 5B G 14B 2A G 6A 16C G 6B 12C G 12A 4C G 8D 4B G 11C 15C G 7A 16D G 9C 11A G 10C 17C G 10A 16C+ G 5C 7D G 15B 9D G 12D 20B G 18C 16C+ G 12B 4A G 12D 3B G 5A 7A G 6D 7B G 1D 17C+ G 6A+ 14D G 1D+ 4B G 11A 8A G 10A 17D G 1A,1A 1C 6D 11B 11A 11C 16D 17C 12D 12A 12C 17D 18C 18A
Deep Beeline,Monte Carlo Beeline 4,Two,Normal,124,906785,24,7A 14D G 18B 20C G 4B 14C G 10A 12D G 12A 17A G 16D 2C G 13B 8B G 15B 3B G 4A 9A G 13C 14B G 9B 5D G 11A 11B G 16A 6A G 16D+ 10D G 6B 16A G 5A 15A G 17C 2B G 5A+ 6B G 11C 19B G 4C 20D G 16C 1B G 2D 10B G 19A 11C G 6B 7C G 7D 6A+ G 19D 16C G 20A 16D+ G 11B 17B G 17B 5C G 6C 4D G 20C 5A+ G 4C+ 8C G 1C 4C+ G 6B+ 15A G 17C 16A+ G 6C+ 14A G 17C 11D G 5D+ 3D G 17B 5A+ G 6C+ 10C G 18C 1D G 16C,4C 5D 5A 5C 1D 6C 6A 6B 11D 16C 16A 16D
Monte Carlo Beeline 3,Parallel MCTS,One,Normal,55,1221461,29,8B 2C G 7C 19D G 18A 16A G 12B 10D G 3A 7A G 16B 20A G 14A 2D G 17C 14B G 4B 2D+ G 19C 16D G 4A 17D G 14C 10A G 13C 6D G 8C 20C G 14C 19C+ G 11D 3B G 9D 10B G 6D+ 19A G 4C,3A 3B 4B 4A 4C 9D 14B 14A 14C 19D 20C 20A
Monte Carlo Beeline 3,Monte Carlo Barricade,One,Normal,133,1368427,60,16A 9C G 12C 10B G 2A 2B G 7B 8A G 13A 19A G 15A 3A G 14A 4B G 2B 13D G 7D 20B G 9B 17A G 11B 1C G 6A 9D G 4D 20A G 12B 16C G 18D 13B G 3C 10A G 4A 4D G 13B 13C G 18A 6D G 1A 14C G 11D 17B G 17B 13A G 10D 6C G 8B 12B G 13B 14D G 9C 16B G 17B 6B G 9C 8A G 20D 3C G 6B 18B G 13B 3C G 8D 17C G 15C 11C G 14D 20D G 3C 16B G 16B 20A G 8D 20B G 14D 8C G 9B 14D G 15C 7C G 11B 7A G 14D 16B G 12A 15C G 15C 15D G 3C,3C 8D 13B 13A 13C 18D 18A 18B 17B 16B 16A 16C 20D
Random,Parallel MCTS Beeline,Two,Normal,76,1327115,29,8B 15D G 8C 20B G 20A 14C G 18C 17D G 10C 16B G 17B 20A+ G 3C 19B G 8D 12D G 16C 9B G 13B 7B G 13D 8D G 15C 5C G 13D+ 14A G 12A 3B G 4C 11C G 11A 2C G 1A 13C G 6A 13A G 11C 7D G 14D 3B+ G 12C 7C G 13A 12C+ G 19B 8A G 10B 19D G 3C 7D G 8A,8C 8A 8D 13B 13A 13C 9B 14D 14A 14C 10B 15D
Parallel MCTS Beeline,Barricade,One,Normal,73,1279862,11,3D 18B G 3A 20C G 13C 8C G 2C 1C G 3B 1A G 6D 7D G 8D 2D G 1A 18D G 4A 2D G 3A 19D G 8C 8A G 13B 19C G 15B 19A G 8A 15D G 1B 1A G 8A 18A G 11D 8A G 13B 19A G 13A 8A G 8A 13B G 15C 15A G 3A 7B G 17B 8A G 15A 6D G 8A,3D 8C 8A 8D 13B 13A 13C 18D 19C 19A 19D 20C
Deep Beeline,Parallel MCTS Beeline,Two,Normal,70,1278764,13,4B 1D G 16B 8A G 18C 4C G 13A 12A G 3C 16A G 16D 14D G 3B 4D G 10B 15C G 13C 4D G 19D 10D G 14A 5B G 18B 18D G 19C 20C G 10A 20A G 19A 4A G 10C 20B G 20D 12B G 7B 15D G 20B 5D G 18A 3A G 20A 19B G 20B 20A G 14C 15D G 20A,4C 5D 10C 10A 10B 15D 20C 20A 20B 16B 16A 16D
Barricade,Parallel MCTS Beeline,Two,Normal,76,1094089,67,17D 14A G 7D 7A G 12B 12A G 9C 2C G 9A 5B G 15D 5A G 1B 17B G 6B 4B G 5A 15A G 17C 15C G 14C 10B G 15C 10A G 14C 7A G 5C 1B G 10A 2C G 8B 14C G 10A 14C G 3A 14B G 14D 7B G 5D 11C G 14B 4A G 11A 11C G 14B 9A G 9B 5B G 8D 13B G 14D,6B 15C 15A 15D 10B 14C 14A 14D 9B 9A 9C 13B
