Player One,Player Two,Winner,Termination,Total Moves,Total Milliseconds,Starting Tile Index,Transcript
Monte Carlo Beeline,Random,One,Normal,54,10137,61,16B 14A G 11B 8B G 3A 12C G 9A 11D G 17D 1D G 17B 18C G 18A 14B G 9A 9B G 10C 14B G 9C 10B G 1A 12B G 2D 6A G 4C 19B G 7A 4D G 10D 15D G 12A 1B G 20C 4A G 19B 15A G
Barricade,Deep Beeline,One,Normal,66,4278,16,5A 5B G 20A 1B G 4B 12B G 16B 12A G 7D 17C G 8A 8B G 8C 6C G 14D 4C G 6A 1C G 18A 15B G 18B 14A G 19B 19C G 2A 10A G 7B 11C G 12D 9A G 9C 14C G 13C 7C G 11B 13D G 15B 11A G 9C 6A G 5C 12B G 6B 4B G
Deep Beeline,Random,One,Normal,75,4341,16,5A 12A G 8C 1A G 14C 2B G 19C 17A G 7B 9D G 16D 5B G 18C 2A G 20B 10A G 20C 12A G 4B 16A G 9B 3B G 15A 13B G 13C 3C G 9C 4A G 11B 8A G 8A 7C G 13A 3C G 9A 18A G 16A 20D G 18D 17C G 7A 9D G 16B 11D G 9B 19B G 3B 4A G 4A 19B G
Monte Carlo Beeline,Deep Beeline,One,Normal,78,13585,61,16B 16C G 4B 19B G 14A 7A G 5A 11C G 7C 14D G 11B 14B G 1B 6B G 5C 17A G 6C 19D G 20A 15B G 1A 13C G 13D 16A G 17D 3A G 8A 18C G 12C 12B G 6D 18C G 20C 8D G 8C 20C G 11A 13B G 8D 1C G 10C 19D G 19D 1B G 9A 19D G 1B 15A G 9A 13C G 13C 9A G
Deep Beeline,Bee Line,Two,Normal,45,3434,54,14C 7C G 12D 14A G 15D 13A G 7B 9A G 13D 18D G 12C 19C G 10D 14D G 9B 5D G 9D 7D G 8D 12B G 8A 17D G 18C 15C G 1A 12C G 1B 1D G 18B 8B G
Deep Beeline,Monte Carlo Beeline,Two,Normal,54,5410,32,9A 9B G 1C 18D G 11B 11D G 8D 20B G 15C 2B G 3D 13D G 7B 6C G 13B 12D G 5C 17D G 14B 4A G 5D 16A G 4B 10C G 6A 15B G 10A 17C G 11A 10D G 10B 16D G 19D 14C G 12B 5A G
Monte Carlo Beeline,Tile Skipper,One,Normal,63,5895,3,1D 20D G 6B 2A G 12A 6C G 1A 5B G 18A 2B G 2C 3A G 19A 4B G 1B 20B G 16B 3B G 3C 4A G 13D 4C G 7A 10C G 11C 7C G 7D 14C G 10A 8A G 9A 10B G 17A 9C G 8D 14A G 17A 13B G 9B 1D G 10B 15C G
Monte Carlo Beeline,Barricade,One,Normal,60,11841,63,16D 17A G 16A 16B G 5B 5A G 4B 10D G 1A 1B G 1C 6A G 7D 1D G 7B 7C G 10B 6B G 10C 19C G 13D 6C G 14C 8B G 4C 11B G 8C 14A G 18D 9A G 18A 13A G 13C 14B G 15C 19D G 20C 4D G 16A 9B G
Monte Carlo Beeline,Kitty Corner,One,Normal,54,2216,52,14A 3A G 4A 5D G 1B 5A G 10A 17B G 10D 15A G 20A 20D G 20B 15D G 15C 20C G 16A 15D G 15B 16C G 12A 10B G 3D 16D G 19D 8A G 7D 11D G 6A 19A G 8C 18D G 12D 10B G 15B 11B G
Monte Carlo Beeline,Bee Line,One,Normal,51,1309,73,19B 5A G 1C 4C G 12D 17C G 6D 19C G 16D 1B G 12C 16A G 13C 7D G 2B 12A G 10B 3B G 8B 13A G 17D 17A G 9A 9B G 8A 3C G 3A 14A G 20D 9C G 6C 20C G 8C 3A G
Bee Line,Kitty Corner,Two,Normal,45,104,48,13A 15A G 10A 2D G 8C 5A G 4A 2A G 6D 3A G 8A 20B G 18D 10C G 3C 6A G 16B 15D G 4B 11D G 16C 15C G 3B 17B G 17D 5C G 8D 17C G 11C 4C G
Random,Tile Skipper,Two,Normal,45,104,48,13A 20D G 6B 16D G 17B 6C G 1A 10A G 17C 2B G 2C 12D G 8D 4B G 1B 12A G 6D 2A G 3D 11B G 7A 3C G 4C 14B G 17D 5D G 9A 8A G 9D 14D G
Random,Kitty Corner,One,Normal,51,102,69,18B 6A G 1A 1C G 15C 2A G 3A 6C G 12A 8A G 13A 7B G 20D 1D G 1D 14A G 16C 8D G 8C 20B G 17A 6D G 13D 11B G 19D 7D G 11A 20C G 18A 11D G 19C 17A G 19B 4D G
Tile Skipper,Barricade,Two,Normal,63,113,79,20D 7C G 20A 6B G 6C 6A G 11D 1A G 2B 1B G 1C 2C G 4B 1D G 5B 4C G 8C 5D G 16A 7D G 2A 12B G 4A 3C G 7B 8A G 10D 8B G 9A 15D G 16D 9B G 10A 19A G 19C 10B G 13C 14D G 14A 13D G 12D 18A G
Tile Skipper,Random,One,Normal,45,100,79,20D 8D G 1D 6B G 6C 1A G 13D 5C G 5B 16A G 18C 2B G 2C 3D G 8A 3B G 2A 18C G 17B 4B G 4C 4A G 18C 7A G 7C 18C G 19A 9A G 12A 9C G
Barricade,Random,One,Normal,54,118,27,7D 11A G 8B 8A G 13D 16A G 2D 2A G 7C 4A G 9B 1C G 4B 13C G 6A 18D G 13B 11C G 20A 14D G 9C 14C G 15D 9A G 9D 5B G 15B 14B G 14A 15D G 12D 17A G 18B 11D G 11D 10A G
Barricade,Tile Skipper,One,Normal,60,148,55,14D 20D G 6B 6A G 11D 6C G 1A 1B G 1C 2B G 2C 1D G 2A 4B G 4C 20B G 7D 7A G 8C 5B G 5D 8B G 9A 15A G 12B 4A G 8A 12C G 3A 10A G 10B 10C G 18B 12D G 13A 17B G 18C 17D G 19D 17A G
